Question name,Attempts,Sucess Rate,Standard deviation
advent,146,86.99%,33.76%
annals,146,80.14%,40.03%
arranged,146,97.26%,16.38%
bigger,146,97.95%,14.24%
built,146,98.63%,11.66%
colloquial,146,83.56%,37.19%
command,146,80.14%,40.03%
concisely,146,89.73%,30.47%
concocted,146,77.40%,41.97%
constantly,146,95.21%,21.44%
consumed,146,95.89%,19.92%
costly,146,97.26%,16.38%
debate,146,92.47%,26.49%
deftly,146,72.60%,44.75%
discrepancies,146,94.52%,22.84%
dissipate,146,89.73%,30.47%
distribute,146,88.36%,32.19%
easygoing,146,96.58%,18.25%
enormously,146,97.95%,14.24%
essentially,146,90.41%,29.55%
expeditiously,146,82.88%,37.80%
fanciful,146,80.14%,40.03%
fashion,146,62.33%,48.62%
feasible,146,96.58%,18.25%
figure,146,62.33%,48.62%
flawed,146,96.58%,18.25%
furnish,146,89.73%,30.47%
generally,146,92.47%,26.49%
grin,146,90.41%,29.55%
hailed,146,60.96%,48.95%
halfheartedly,146,71.92%,45.09%
haphazardly,146,53.42%,50.05%
hasten,146,90.41%,29.55%
hastily,146,93.15%,25.35%
highlight,146,93.84%,24.13%
hind,146,82.19%,38.39%
hue,146,73.97%,44.03%
infinite,146,98.63%,11.66%
issues,146,86.30%,34.50%
keen,146,88.36%,32.19%
levied,146,78.08%,41.51%
make,146,71.23%,45.42%
marketed,146,88.36%,32.19%
narrow,146,97.26%,16.38%
normally,146,94.52%,22.84%
often,146,97.95%,14.24%
peculiarly,146,61.64%,48.79%
percentage,146,91.78%,27.56%
perilous,146,91.10%,28.58%
perseverance,146,94.52%,22.84%
physician,146,91.10%,28.58%
primarily,146,78.77%,41.04%
principal,146,87.67%,32.99%
prolific,146,52.05%,50.13%
prominent,146,78.77%,41.04%
prospective,146,78.77%,41.04%
provisions,146,66.44%,47.38%
recognized,146,91.10%,28.58%
resolved,146,95.21%,21.44%
roots,146,96.58%,18.25%
salutes,146,93.15%,25.35%
showed,146,89.73%,30.47%
showy,146,45.21%,49.94%
situated,146,95.21%,21.44%
slowly,146,90.41%,29.55%
solitary,146,97.26%,16.38%
spot,146,97.26%,16.38%
sufficient,146,97.26%,16.38%
sustained,146,89.04%,31.35%
tasks,146,97.95%,14.24%
temperate,146,83.56%,37.19%
terminated,146,95.89%,19.92%
tranquillity,146,95.89%,19.92%
uniform,146,94.52%,22.84%
unlikely,146,85.62%,35.21%
unmatched,146,84.25%,36.56%
urgently,146,91.10%,28.58%
verbally,146,90.41%,29.55%
wildly,146,58.90%,49.37%
zenith,146,88.36%,32.19%

